row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,match,image_id,image_locality,image_title,image_dates,image_series,date_agrees,annotazioni
740,349,Italia,Lagonegro,Santa Maria di Monte Sirino,16-9-1900,#,no,#,,,,,,,,"Frate Anselmo: riporta la data 16 settembre 1900, ma non fu un'incoronazione. Nessun riferimento in internet."
741,666,Italia,Portoferraio,Santa Maria di Loreto,#-10-1900,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con la data di incoronazione.
742,864,Italia,"Tursi, frazione di Anglona",Madonna di Anglona,19-5-1901,Capitolo,sì,1,,,,,,,,
743,814,Francia,Albert,Nostra Signora di Brebières,19-6-1901,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 21 giugno 1901 e la titola: Santa Maria di Brebières o delle Pecore.
744,838,Francia,Marcillac-Vallon,Nostra Signora de Foncourrieu,30-6-1901,Capitolo,sì,1,,,,,,,,"ERR - Frate Anselmo: data l'incoronazione 29 maggio 1901, la colloca a Marcillac e la titola: Santa Maria de Foncourrièen."
745,999,Italia,"Genova, quartiere di Sampierdarena",Madonna di Belvedere,1-9-1901,Capitolo,sì,1,,,,,,,,
746,951,Italia,Alatri,Santa Maria della Libera,8-9-1901,Capitolo,sì,1,,,,,,,,Frate Anselmo: la titola: Santa Maria della Liberatrice.
747,939,Italia,"Ferrara, frazione di Sant'Egidio",Madonna del Poggetto,8-9-1901,Capitolo,sì,1,,,,,,,,"Frate Anselmo: la colloca a S. Egidio. ERR - Frate Anselmo: data l'incoronazione 10 gennaio 1897 nell'elenco per date, mentre nell'elenco per località riporta due date: 10 gennaio 1897 e 17 settembre 1901. ERR - Bonci: data l'incoronazione 10 gennaio 1897."
748,1002,Italia,"Borghetto di Vara, frazione di L'Ago",Madonna di Roverano,8-9-1901,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con quella di incoronazione
749,990,Italia,Viterbo,Madonna Liberatrice,15-9-1901,#,no,#,place+title,santa-maria-nella-chiesa-della-ssma-trinita-di-v,Viterbo,Santa Maria nella Chiesa della SSma Trinità di Viterbo,1715-11-12,ACSP+LIT,no,ERR Frate Anselmo: data l'incoronazione 21 luglio 1901.
