row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,taken,why_not,image_id,image_locality,image_title,image_dates,other_sources,date_agrees,rome_alignment,annotazioni
37,69,Italia,Roma,Madonna delle Grotte,21-11-1647,Capitolo,sì,1,yes,,santa-maria-nel-monastero-de-ss-domenico-e-sisto,"Rome, Santi Domenico e Sisto (Magnanapoli), inner monastery","Santa Maria nel Monastero de' SS. Domenico, e Sisto",1647-11-21,Bombelli; Briccolani,yes,AUTO,ERR - Frate Anselmo: la titola Madonna della Grotta.
38,8,Città del Vaticano,Città del Vaticano,Madonna del Soccorso,#-#-1647,Capitolo,sì,1,yes,,madonna-del-soccorso-rome-vatican-basilica-cappe,"Rome, Vatican Basilica (Cappella Gregoriana)",Madonna del Soccorso,1643-11-17,Bombelli; Briccolani; Zander/Magister,yes,PICK,ERR - Frate Anselmo: data l'incoronazione 17 novembre 1643.
39,49,Italia,Roma,Madonna del Rifugio,4-1-1648,#,no,#,no,petition refused or crowning uncertain (incoronazione #),,,,,,,,Briccolani: non la cita. ERR - Frate Anselmo: riporta questa incoronazione che non esiste.
40,45,Italia,Roma,Madonna in San Giovanni dei Fiorentini,7-6-1648,Capitolo,sì,1,yes,,santa-maria-della-misericordia-in-s-giovanni-de,"Rome, San Giovanni dei Fiorentini",Santa Maria della Misericordia in S. Giovanni de Fiorentini,1648-06-07,Briccolani,yes,PICK,
41,50,Italia,Roma,Madonna della Sanità,26-7-1648,Capitolo,sì,1,yes,,santa-maria-della-salute-in-s-lorenzo-in-lucina,"Rome, San Lorenzo in Lucina",Santa Maria della Salute in S. Lorenzo in Lucina,1648-07-26,Bombelli; Briccolani,yes,AUTO,Bombelli: corona alla Madonna e al Bambino. ERR - Frate Anselmo: data l'incoronazione 3 gennaio 1648. La data del decreto è posteriore a quella dell'incoronazione.
42,140,Italia,Roma,Santa Maria in Vallicella,9-7-1649,Capitolo,sì,1,yes,,santa-maria-in-vallicella-detta-la-chiesa-nuova,"Rome, Santa Maria in Vallicella",Santa Maria in Vallicella detta la Chiesa Nuova,1649-07-09,Briccolani,yes,AUTO,
43,98,Italia,Roma,Madonna delle Catene,31-1-1650,Capitolo,sì,1,yes,,santa-maria-in-s-silvestro-a-monte-cavallo-rome,"Rome, San Silvestro al Quirinale",Santa Maria in S. Silvestro a Monte Cavallo,1650-01-31,Briccolani,yes,AUTO,
44,87,Italia,Roma,Madonna di San Giovannino,3-6-1650,Capitolo,sì,1,yes,,santa-maria-in-s-giovannino-in-campo-marzo-de-pp,"Rome, San Giovannino in Campo Marzio (Mercedarians)",Santa Maria in S. Giovannino in Campo Marzo de' PP. della Mercede,1650-06-03,Bombelli; Briccolani,yes,PICK,
45,122,Italia,Roma,Santa Maria in Portico,26-11-1650,Capitolo,sì,1,yes,,santa-maria-in-portico-in-campitelli-rome-santa,"Rome, Santa Maria in Portico in Campitelli",Santa Maria in Portico in Campitelli,1650-11-26; 1899-07-16,Briccolani,yes,PICK,Bombelli:la titola Santa Maria in Portico in Campitelli. Briccolani: la titola Santa Maria in Portico in Campitelli.
46,130,Italia,Roma,Madonna di Costantinopoli,26-1-1651,Capitolo,sì,1,yes,,santa-maria-di-costantinopoli-a-capo-le-case-rom,"Rome, Santa Maria di Costantinopoli a Capo le Case",Santa Maria di Costantinopoli a capo le Case,1651-01-26,Bombelli; Briccolani,yes,PICK,ERR - Frate Anselmo: dat al'incoronazione 5 gennaio 1651.
